Site,Full days active,Full day images,1st full day,1st day images,1st day visitors,Proportion,Full day visitors,Mean daily visitors,Days in month,Monthly visitors estimate,Notes,
Blacktoft Sands,3,2907,20th July,843,93,0.110320285,320.7010676,106.9003559,31,3313.911032,23rd- corrupt,
Collard Hill,31,2613,1st July,93,27,0.290322581,758.6129032,24.47138398,31,758.6129032,,
Denge Wood,31,2253,1st July,63,13,0.206349206,464.9047619,14.9969278,31,464.9047619,,
Fowlmere,11,2904,1st July,312,57,0.182692308,530.5384615,48.23076923,31,1495.153846,12th - dead,
Frampton Marsh,31,14988,1st July,1035,64,0.061835749,926.7942029,29.89658719,31,926.7942029,,
Gait Barrows,31,2352,1st July,75,24,0.32,752.64,24.27870968,31,752.64,,
Glasdrum Wood,31,2844,1st July,69,14,0.202898551,577.0434783,18.61430575,31,577.0434783,,
Highnam Woods,25,4329,1st July,135,10,0.074074074,320.6666667,12.82666667,31,397.6266667,26th - dead,
Insh Marshes,31,4062,1st July,159,47,0.295597484,1200.716981,38.73280584,31,1200.716981,,
Minsmere Woodland,29,1552,1st July,93,26,0.279569892,433.8924731,14.96180942,31,463.816092,30th - dead,
Nagshead,31,4996,1st July,135,35,0.259259259,1295.259259,41.78255675,31,1295.259259,,
Pulborough Brooks,31,6339,1st July,183,70,0.382513661,2424.754098,78.21787414,31,2424.754098,,
Rainton Meadows,14,20979,18th July,1704,,0.159891599,3354.365854,239.597561,31,7427.52439,Images deleted - use previous proportion,
Strumpshaw Fen,31,7359,1st July,219,61,0.278538813,2049.767123,66.12152011,31,2049.767123,,
