Site,Full days active,Full day images,1st full day,1st day images,1st day visitors,Proportion,Full day visitors,Mean daily visitors,Days in month,Monthly visitors estimate,Notes
Arne,26,26631,1st May,924,208,0.225108225,5994.857143,230.5714286,31,7147.714286,27th - Cocoon
Blacktoft Sands,27,27937,4th May,813,98,0.120541205,3367.559656,124.7244317,31,3866.457382,30th - dead/earwig
Caerlaverock,31,6867,1st May,158,45,0.284810127,1955.791139,63.09003675,31,1955.791139,1st June - dead
Cairnsmore of Fleet,20,18466,1st May,111,6,0.054054054,998.1621622,49.90810811,31,1547.151351,21st - dead
Collard Hill,31,2100,1st May,45,8,0.177777778,373.3333333,12.04301075,31,373.3333333,
Denge Wood,30,4170,2nd May,93,27,0.290322581,1210.645161,40.35483871,31,1251,
Fowlmere,30,13566,2nd May,375,70,0.186666667,2532.32,84.41066667,31,2616.730667,
Frampton Marsh,28,7689,4th May,357,136,0.380952381,2929.142857,104.6122449,31,3242.979592,
Gait Barrows,31,3746,1st May,48,10,0.208333333,780.4166667,25.17473118,31,780.4166667,
Glasdrum Wood,31,3690,1st May,72,16,0.222222222,820,26.4516129,31,820,
Ham Wall,31,22374,1st May,583,155,0.265866209,5948.490566,191.8867925,31,5948.490566,
Highnam Woods,31,14964,1st May,180,14,0.077777778,1163.866667,37.54408602,31,1163.866667,
Insh Marshes,31,4854,1st May,120,40,0.333333333,1618,52.19354839,31,1618,
Kirkconnel Flow,28,17698,1st May,81,10,0.12345679,2184.938272,78.0335097,31,2419.038801,29th - dead
Lakenheath Fen,21,27982,2nd May,1680,55,0.032738095,916.077381,43.62273243,31,1352.304705,22nd - dead
Leighton Moss,31,14586,1st May,507,117,0.230769231,3366,108.5806452,31,3366,Temporarily off 
Loch Garten,31,17878,1st May,513,133,0.259259259,4635.037037,149.5173238,31,4635.037037,
Low Barns,31,8728,1st May,222,63,0.283783784,2476.864865,79.89886661,31,2476.864865,
Minsmere Visitor Centre,29,26985,3rd May,579,165,0.284974093,7690.025907,265.1733071,31,8220.372521,
Minsmere Woodland,29,9150,3rd May,66,21,0.318181818,2911.363636,100.3918495,31,3112.147335,
Nagshead,31,6711,1st May,114,17,0.149122807,1000.763158,32.28268251,31,1000.763158,
Pulborough Brooks,31,,1st May,243,72,0.296296296,2315.555556,74.6953405,31,2315.555556,
Rainton Meadows,31,,1st May,579,,0.159891599,1524.246612,49.16924556,31,1524.246612,Images deleted - use previous proportion
Saltholme Visitor Centre,31,,1st May,363,94,0.258953168,4221.713499,136.1843064,31,4221.713499,1st June - dead
Saltholme Workshops,31,,1st May,108,17,0.157407407,1072.416667,34.59408602,31,1072.416667,
Strumpshaw Fen,29,,3rd May,75,15,0.2,1973.4,68.04827586,31,2109.496552,
Titchwell Marsh,21,,1st May,588,146,0.24829932,6872.428571,327.2585034,31,10145.01361,22nd - dead
Weeting Heath,30,,2nd May,540,28,0.051851852,1117.2,37.24,31,1154.44,
