Site,Full days active,Full day imagesq,1st full day,1st day images,1st day visitors,Proportion,Full day visitors,Mean daily visitors,Days in month,Monthly visitors estimate,Notes,,
Collard Hill,14,1064,1st September,99,24,0.242424242,257.9393939,18.42424242,30,552.7272727,15th - serviced,,
Denge Wood,16,807,1st September,45,17,0.377777778,304.8666667,19.05416667,30,571.625,17th - serviced,,
Glasdrum Wood,29,1917,1st September,24,4,0.166666667,319.5,11.01724138,30,330.5172414,"5th - serviced, includes overlap",,
Insh Marshes,30,3747,1st September,78,34,0.435897436,1633.307692,54.44358974,30,1633.307692,includes overlap,,
Nagshead,13,2028,1st September,303,64,0.211221122,428.3564356,32.95049505,30,988.5148515,14th - serviced,,
Pulborough Brooks,14,570,1st September,105,N/A,N/A,N/A,N/A,30,N/A,Faulty,,
Strumpshaw Fen,23,5625,1st September,348,109,0.313218391,1761.853448,76.60232384,30,2298.069715,24th - serviced,,
Caerlaverock,25,6594,6th September,252,48,0.19047619,1256,50.24,30,1507.2,,,
Cairnsmore of Fleet,25,7581,6th September,1002,18,0.017964072,136.1856287,5.44742515,30,163.4227545,,,
Gait Barrows,6,396,1st September,90,22,0.244444444,96.8,16.13333333,30,484,7th - dead,,
Leighton Moss,30,12930,1st September,453,128,0.282560706,3653.509934,121.7836645,30,3653.509934,,,
Loch Garten,12,2043,11th September,300,104,0.346666667,708.24,59.02,30,1770.6,23rd onward - faulty,,
