TYPE,WDPAID,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,MARINE,STATUS_YR,age,ISO3,mean_access,meanHDIall,AREA,logArea,veg_diversity,veg_factor,total_pop,Wildlifepop,Sprich,Visitation_rate,logVis
Polygon,1362,Daan Viljoen Game Park,Daan Viljoen Game Park,National Park,National Park,National,0,1968,52,NAM,14.73584906,0.587923077,40.16120289,1.603806712,1,Grassland,451359.8961,1549,311,#N/A,0
Polygon,101232,Iriqui National Park,Iriqui National Park,Parc National,National Park,National,0,1994,26,MAR,233.3140401,0.5525,1301.099055,3.114310361,2,Sparse vegetation or bare,347867.5903,330,108,#N/A,0
Polygon,18002,Gross Barmen Hot Springs,Gross Barmen Hot Springs,National Park,National Park,National,0,1968,52,NAM,53.4193573,0.587923077,1.065436125,0.027527418,2,Grassland,416809.567,1585,316,#N/A,0
Polygon,1080,Maiko,Maiko,Parc National,National Park,National,0,1970,50,COD,1641.321874,0.364653846,11041.64582,4.043033812,3,Forest,3747048.07,1703,458,#N/A,0
Polygon,306589,Wadi El-Gemal - Hamata,Wadi El-Gemal - Hamata,Ù…ØªÙ†Ø²Ù‡ ÙˆØ·Ù†ÙŠ,National Park,National,1,2003,17,EGY,470.806891,0.622615385,8935.033892,3.951096204,3,Sparse vegetation or bare,17238.97014,445,153,#N/A,0
Polygon,40042,Semuliki,Semuliki,National Park,National Park,National,0,1993,27,UGA,226.3793103,0.405307692,222.2087902,2.346761235,3,Forest,6413658.6,2618,717,176,2.245512668
Polygon,18005,Hardap Recreation Resort,Hardap Recreation Resort,National Park,National Park,National,0,1968,52,NAM,210.1474359,0.587923077,244.2304143,2.387799746,3,Grassland,261374.9165,1228,243,#N/A,0
Polygon,351,National Park Cangandala,National Park Cangandala,National Park,National Park,National,0,1970,50,AGO,201.8789474,0.462764706,645.7730886,2.810079943,3,Forest,772332.3797,1613,379,#N/A,0
Polygon,7874,Kamuku,Kamuku,National Park,National Park,National,0,1999,21,NGA,159.8574879,0.492692308,348.3571585,2.542024739,3,Forest,3049326.971,1579,393,#N/A,0
Polygon,724,Mont Peko National Park,Mont Peko National Park,National Park,National Park,National,0,1968,52,CIV,159.0601093,0.413230769,314.8052501,2.498041967,3,Forest,3672770.422,1459,446,#N/A,0
Polygon,1361,Cape Cross Seal Reserve,Cape Cross Seal Reserve,National Park,National Park,National,0,1969,51,NAM,100.5,0.587923077,9.940966708,0.997428619,3,Grassland,5724.150489,862,186,#N/A,0
Polygon,725,Banco National Park,Banco National Park,National Park,National Park,National,0,1953,67,CIV,2.392857143,0.413230769,26.27472107,1.419538114,3,Forest,6445944.45,1288,405,#N/A,0
Polygon,72332,Nouabalé-Ndoki,Nouabalé-Ndoki,Parc National,National Park,National,0,1993,27,COG,1539.371739,0.522769231,4116.044274,3.614480038,4,Forest,394636.0037,1343,397,500,2.698970004
Polygon,639,Bamingui-Bangoran,Bamingui-Bangoran,National Park,National Park,National,0,1933,87,CAF,763.1384371,0.3265,11263.59498,4.051677026,4,Forest,525538.2422,1908,431,#N/A,0
Polygon,7508,Gemsbok,Gemsbok,National Park,National Park,National,0,1971,49,BWA,742.9155974,0.615769231,26050.59965,4.415817725,4,Grassland,62513.46569,1311,248,5984.4,3.777020614
Polygon,2258,Andre Felix,Andre Felix,National Park,National Park,National,0,1960,60,CAF,639.5578111,0.3265,958.0158741,2.981372705,4,Shrubland,321789.6889,1435,320,#N/A,0
Polygon,874,Kalahari Gemsbok National Park,Kalahari Gemsbok National Park,National Park,National Park,National,0,1931,89,ZAF,520.4966151,0.634923077,9629.986007,3.983625656,4,Grassland,1115.098823,1283,239,51746,4.713876784
Polygon,555547998,Bakossi,Bakossi,Parc national,National Park,National,0,2007,13,CMR,364.0356083,0.460653846,295.3472655,2.470332954,4,Forest,3275880.01,1618,536,#N/A,0
Polygon,7888,South Island,South Island,National Park,National Park,National,0,1983,37,KEN,337.7777778,0.486961538,38.89493883,1.589893093,4,Sparse vegetation or bare,277062.7529,1487,316,#N/A,0
Polygon,797,Banc d'Arguin,Banc d'Arguin,National Park,National Park,National,1,1978,42,MRT,304.0440375,0.452576923,18378.27308,4.2643047,4,Water bodies,144469.8564,513,166,#N/A,0
Polygon,555542335,Gola Rainforest National Park,Gola Rainforest National Park,National Park,National Park,National,0,2010,10,SLE,260.6205674,0.332769231,715.0372542,2.85432867,4,Forest,2912535.205,1520,462,#N/A,0
Polygon,7447,Sehlabathebe,Sehlabathebe,National Park,National Park,National,0,1970,50,LSO,220.0217391,0.467038462,69.75014615,1.843545122,4,Mosaic,1318073.721,1159,269,#N/A,0
Polygon,4487,Bouhedma,Bouhedma,National Park,National Park,National,0,1980,40,TUN,126.9409283,0.661846154,165.6432698,2.219173795,4,Sparse vegetation or bare,1741253.45,410,188,#N/A,0
Polygon,32455,Vaalbos National Park,Vaalbos National Park,National Park,National Park,National,0,1986,34,ZAF,85.75384615,0.634923077,49.97560026,1.698758019,4,Grassland,17405.2893,1350,283,#N/A,0
