WDPAID,Site,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Unknown,Average,Source,Notes
169641,Afon Teifi,,,,,,,,,,,,,,,,,,,,,,,80000,80000,"Gavigan. G., (Welsh WT), pers. comm., (2019)",
10941,Ainsdale Sand Dunes,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
93262,Aqualate Mere,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
136332,Arne,33487,62810,26818,20700,44500,,41725,64755,58778,,,,,,,,,,,,,,,44197,"Burton, G., pers. comm. In Balmford et al., (2015)",Camera
10944,Aston Rowant,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
136534,Aston Rowant Woods,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
139996,Axmouth To Lyme Regis Undercliffs,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
10946,Axmouth-lyme Regis Undercliffs,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
555581055,Aylesbeare Common,2500,10800,8500,4200,10970,,,16000,16000,,,,,,,,,,,,,,,9853,"Burton, G., pers. comm. In Balmford et al., (2015)",
135726,Ballochmartin Bay,,,,,,,,,,,,,"2,294",,,,,,,,,,,"2,294",https://www.moffatcentre.com/media/moffatcentre/documents/VAM2010.pdf,
555581069,Balranald,,,,,,,,,,,,,,,,,,12500,14700,,,,,"13,600",https://www.visitscotland.org/binaries/content/assets/dot-org/pdf/research-papers-2/wildlife-topic-paper-2017.pdf,
136130,Balranald Bog and Loch nam Feithean,,,,,,,,,,,,,,,,,,12500,14700,,,,,"13,600",https://www.visitscotland.org/binaries/content/assets/dot-org/pdf/research-papers-2/wildlife-topic-paper-2017.pdf,
12455,Barrington Hill,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11711,Barton Hills,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
12448,Beacon Hill,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
1453,Beinn Eighe,,,,,,,,,,,,,,,,,,,,,,,*,*,*,
555581056,Bempton Cliffs,,,,,,,,,,,,,,,,,,,,,,,"42,217","42,217","Sheil, A., Rayment, G., and Burton, G., (2002)",
10558,Ben Wyvis,,,,,,,,,,,,,,,,,,,,,,,*,*,*,
12461,Benacre,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
555581070,Berney Marshes & Breydon Water,150,,,,32,,,5000,5000,,,,,,,,,,,,,,,"2,546","Burton, G., pers. comm. In Balmford et al., (2015)",
142733,Black-a-Tor Copse,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
555581071,Blacktoft Sands,22670,27304,19369,16269,19589,,19682,20568,21036,,,,,,,,,,,,,,,20811,"Burton, G., pers. comm. In Balmford et al., (2015)",Camera
555581071,Blacktoft Sands,,,,,,,,,,,,,,,,,,,,,,,23010,23010,"Sheil, A., Rayment, G., and Burton, G., (2002)",Camera
10948,Blackwater Estuary,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11034,Blawhorn Moss,,,,,,,,,,,,,,,,,,,,,,,*,*,*,
10949,Blean Woods,8603,8915,6700,5064,6993,,,12295,12349,,,,,,,,,,,,,,,"8,703","Burton, G., pers. comm. In Balmford et al., (2015)",
10950,Blelham Bog,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
137066,Brandon Marsh,,,,,,,,,,,,,,,,,,,,,26512,,,26512,"White, H., (Warwickshire WT), pers. comm., (2019)",
11712,Bredon Hill,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
10953,Brettenham Heath,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
10954,Bure Marshes,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11070,Cader Idris,,,,,,,,,,,,,,,,49240,,,,,,,,49240,"Hellawell, T., (NRW), pers. comm., (2019)",
1452,Caerlaverock,,,,,,,,,,,,,33755,,,,,,,,,,,33755,https://www.moffatcentre.com/media/moffatcentre/documents/VAM2010.pdf,Entire reserve
1452,Caerlaverock,,,,,,,,,,,,,,,,,,,,,,,*,*,*,Entire reserve
1452,Caerlaverock,,,,,,,,,,,,,,,,,,,,,*,,,*,*,"WWT area only, mean added to SNH area"
1452,Caerlaverock,,,,,,,,,,,,,,,,*,*,*,*,*,*,,,*,*,"SNH area only, mean added to WWT area. Camera."
1483,Cairnsmore of Fleet,,,,,,,,,,,,,,,,*,*,*,*,*,*,,,*,*,Camera
1483,Cairnsmore of Fleet,,,,,,,,,,,,,,,,,,,,,,,*,*,*,Camera
555581074,Campfield Marsh,,,,,,,,8500,10000,,,,,,,,,,,,,,,9250,"Burton, G., pers. comm. In Balmford et al., (2015)",
169601,Carmel,,,,,,,,,,,,,,,,7000,,,,,,,,7000,"Hellawell, T., (NRW), pers. comm., (2019)",
11713,Castle Eden Dene,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11713,Castle Eden Dene,,,,,,,,,,,,,,,,,,,,,,,*,*,*,
10955,Castle Hill,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
10956,Castor Hanglands,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
10957,Cavenham Heath,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
142905,Ceunant Cynfal,,,,,,,,,,,,,,,,6500,,,,,,,,6500,"Hellawell, T., (NRW), pers. comm., (2019)",
15811,Ceunant Llennyrch,,,,,,,,,,,,,,,,4500,,,,,,,,4500,"Hellawell, T., (NRW), pers. comm., (2019)",
20597,Chilterns,,,,,,,,,,55167118,,,,,,,,,,,,,,55167118,"Weiss, A., (Chilterns AONB), pers. comm., (2019)",
10960,Chippenham Fen,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
137400,Chippenham Fen and Snailwell Poor's Fen,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
140230,"Church Woods, Blean",8603,8915,6700,5064,6993,,,12295,12349,,,,,,,,,,,,,,,"8,703","Burton, G., pers. comm. In Balmford et al., (2015)",
142906,Claerwen,,,,,,,,,,,,,,,,4000,,,,,,,,4000,"Hellawell, T., (NRW), pers. comm., (2019)",
10961,Clawthorpe Fell,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
142751,Cliburn Moss,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
11037,Clyde Valley Woodlands,,,,,,,,,,,,,669744,,,,,,,,,,,"669,744",https://www.moffatcentre.com/media/moffatcentre/documents/VAM2010.pdf,
11037,Clyde Valley Woodlands,,,,,,,,,,,,,,,,,,,,,,,*,*,*,
11072,Coed Cymerau,,,,,,,,,,,,,,,,4000,,,,,,,,4000,"Hellawell, T., (NRW), pers. comm., (2019)",
11073,Coed Dolgarrog,,,,,,,,,,,,,,,,12500,,,,,,,,12500,"Hellawell, T., (NRW), pers. comm., (2019)",
11076,Coed Rheidol,,,,,,,,,,,,,,,,10000,,,,,,,,10000,"Hellawell, T., (NRW), pers. comm., (2019)",
142909,Coedmor,,,,,,,,,,,,,,,,3000,,,,,,,,3000,"Hellawell, T., (NRW), pers. comm., (2019)",
15812,Coed-y-Cerrig,,,,,,,,,,,,,,,,3000,,,,,,,,3000,"Hellawell, T., (NRW), pers. comm., (2019)",
11079,Coedydd Aber,,,,,,,,,,,,,,,,50000,,,,,,,,50000,"Hellawell, T., (NRW), pers. comm., (2019)",
11080,Coedydd Maentwrog,,,,,,,,,,,,,,,,24000,,,,,,,,24000,"Hellawell, T., (NRW), pers. comm., (2019)",
93264,Collyweston Great Wood & Easton Hornstocks,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
10962,Colne Estuary,,,,,,,,,,,,,,,,,,*,,,,,,*,*,
555580980,Coombes & Churnet Valleys,9360,8636,4162,938,2538,,12000,12000,12000,,,,,,,,,,,,,,,7704,"Burton, G., pers. comm. In Balmford et al., (2015)",
328950,Corrie Fee,,,,,,,,,,,,,,,,,,,,,,,*,*,*,
11081,Cors Bodeilio,,,,,,,,,,,,,,,,5825,,,,,,,,5825,"Hellawell, T., (NRW), pers. comm., (2019)",
