TYPE,WDPAID,WDPA_PID,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,MARINE,STATUS_YR,age,GOV_TYPE,GOV_CAT,MANG_AUTH,ISO3,pop,logpop,veg_diversity,veg_factor,AREA,logArea,mean_access,logAccess,temp,meanbirdpop,meanmampop,meansppop,Visitation_rate,logVis
Polygon,555581081,555581081,Havergate Island & Boyton Marshes,Havergate Island & Boyton Marshes,Nature Reserve,Nature Reserve,National,0,1949,71,Joint governance,B,"RSPB, Natural England, Other ",GBR,26973.32857,4.430934543,10,Mosaic,3.621726234,0.558915619,17.77777778,1.249877473,9.900757443,638.6666667,0,638.6666667,271,2.432969291
Polygon,555581042,555581042,Nene Washes,Nene Washes,Nature Reserve,Nature Reserve,National,0,1982,38,Joint governance,B,"RSPB, Natural England, Landowner(s)",GBR,190781.858,5.280537074,7,Grassland,11.22306215,1.050111368,10.04545455,1.001969593,9.850378903,482.3333333,0,482.3333333,559,2.747411808
Polygon,137724,137724,Nene Washes (Whittlesey),Nene Washes (Whittlesey),Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1983,37,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,274382.0679,5.438355725,9,Grassland,15.19942205,1.181827074,9.5,0.977723605,9.870512926,475,0,475,559,2.747411808
Polygon,142904,142904,Y Berwyn,Y Berwyn,National Nature Reserve,National Nature Reserve,National,0,1994,26,Federal or national ministry or agency,A,"Natural England, Scottish Natural Heritage, Natural Resources Wales and Department of Environment Northern Ireland",GBR,17880.94619,4.252390496,6,Mosaic,79.09432731,1.898145337,42.22875817,1.62560831,7.144978624,444,66,510,2500,3.397940009
Polygon,555581070,555581070,Berney Marshes & Breydon Water,Berney Marshes & Breydon Water,Nature Reserve,Nature Reserve,National,0,1985,35,Joint governance,B,"RSPB, Natural England, ",GBR,142942.5279,5.155161458,8,Water bodies,9.705740825,0.98702869,7.555555556,0.878266403,9.840277831,537,0,537,2546,3.405858399
Polygon,11727,11727,Ynys Enlli (bardsey),Ynys Enlli (bardsey),National Nature Reserve,National Nature Reserve,National,0,1986,34,Federal or national ministry or agency,A,"Natural England, Scottish Natural Heritage, Natural Resources Wales and Department of Environment Northern Ireland",GBR,554.3637133,2.743794795,4,Mosaic,1.782964094,0.251142597,110,2.041392685,10.28750014,0,0,0,3000,3.477121255
Polygon,139829,139829,Ynys Enlli: Bardsey Island,Ynys Enlli: Bardsey Island,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,1,1957,63,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,554.3637133,2.743794795,4,Grassland,2.059946897,0.313856025,110,2.041392685,10.28750014,0,0,0,3000,3.477121255
Polygon,555581107,555581107,Wolves Wood Reserves,Wolves Wood Reserves,Nature Reserve,Nature Reserve,National,0,1972,48,Joint governance,B,"RSPB, Natural England",GBR,94249.76972,4.974280298,4,Cropland,1.130403208,0.053233381,4.5,0.653212514,9.570833683,484.3333333,0,484.3333333,3980,3.599883072
Polygon,142906,142906,Claerwen,Claerwen,National Nature Reserve,National Nature Reserve,National,0,1994,26,Federal or national ministry or agency,A,"Natural England, Scottish Natural Heritage, Natural Resources Wales and Department of Environment Northern Ireland",GBR,635.5596655,2.803156328,3,Mosaic,7.923999485,0.898944439,81.9375,1.913482709,7.288888868,380,100,480,4000,3.602059991
Polygon,138390,138390,Otmoor,Otmoor,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1988,32,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,213944.945,5.33030203,3,Mosaic,2.127993138,0.327970223,11.75,1.070037867,9.899999619,510.5,0,510.5,4328,3.636287252
Polygon,555581003,555581003,Haweswater,Haweswater,Nature Reserve,Nature Reserve,National,0,1987,33,Joint governance,B,"RSPB, United Utilities, Natural England",GBR,32270.47483,4.508805356,9,Mosaic,21.58653606,1.334182958,44.63636364,1.649688807,6.987015491,525.5,0,525.5,4376,3.641077313
Polygon,169623,169623,Ramsay Island,Ramsay Island,National Nature Reserve,National Nature Reserve,National,0,1996,24,Federal or national ministry or agency,A,"Natural England, Scottish Natural Heritage, Natural Resources Wales and Department of Environment Northern Ireland",GBR,1662.335872,3.220718777,5,Mosaic,2.809616974,0.448647118,80.33333333,1.904895788,10.5444444,386.5,0,386.5,4500,3.653212514
Polygon,555580938,555580938,Ramsey Island,Ramsey Island,Nature Reserve,Nature Reserve,National,1,1992,28,Joint governance,B,"RSPB, Natural Resources Wales",GBR,1974.123712,3.295374365,5,Grassland,3.057871477,0.485419228,80.33333333,1.904895788,10.58124995,386.5,0,386.5,4500,3.653212514
Polygon,11083,11083,Cors Erddreiniog,Cors Erddreiniog,National Nature Reserve,National Nature Reserve,National,0,1969,51,Federal or national ministry or agency,A,"Natural England, Scottish Natural Heritage, Natural Resources Wales and Department of Environment Northern Ireland",GBR,33256.03927,4.521870524,3,Grassland,2.4982734,0.397639964,70,1.84509804,9.847222328,507,38,545,4785,3.679881942
Polygon,387445,387445,Forsinard Flows,Forsinard Flows,National Nature Reserve,National Nature Reserve,National,0,2007,13,Federal or national ministry or agency,A,"Natural England, Scottish Natural Heritage, Natural Resources Wales and Department of Environment Northern Ireland",GBR,1752.11815,3.243563388,9,Mosaic,153.4127495,2.185861454,209.9940476,2.322206985,7.359965375,423.4,0,423.4,4950,3.694605199
Polygon,555581063,555581063,Geltsdale,Geltsdale,Nature Reserve,Nature Reserve,National,0,1976,44,Joint governance,B,"RSPB, Natural England, Landowner(s)",GBR,24391.53136,4.387239067,8,Mosaic,26.89899406,1.429736039,28.12727273,1.449127624,7.3810606,625,56,681,5000,3.698970004
Polygon,137318,137318,Geltsdale & Glendue Fells,Geltsdale & Glendue Fells,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1984,36,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,26243.0905,4.419014978,8,Mosaic,80.46502994,1.905607177,35.06790123,1.544909775,7.188425938,625,56,681,5000,3.698970004
Polygon,555580985,555580985,Hayle Estuary,Hayle Estuary,Nature Reserve,Nature Reserve,National,1,1992,28,Joint governance,B,"RSPB, Natural England",GBR,48617.92577,4.686796426,5,Water bodies,2.303652612,0.362416989,67,1.826074803,11.04583359,360,0,360,5371,3.730055152
Polygon,138583,138583,Hayle Estuary & Carrack Gladden,Hayle Estuary & Carrack Gladden,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,1,1993,27,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,58292.70077,4.765614177,5,Water bodies,1.913824411,0.28190209,66.5,1.822821645,11.04583359,360,0,360,5371,3.730055152
Polygon,3231,3231,Rhinog,Rhinog,National Nature Reserve,National Nature Reserve,National,0,1959,61,Federal or national ministry or agency,A,"Natural England, Scottish Natural Heritage, Natural Resources Wales and Department of Environment Northern Ireland",GBR,14146.64793,4.150653545,3,Mosaic,5.914997943,0.771954598,66.5,1.822821645,7.602777799,526.5,0,526.5,6000,3.77815125
Polygon,555581009,555581009,Wood Of Cree,Wood Of Cree,Nature Reserve,Nature Reserve,National,0,1983,37,Joint governance,B,"RSPB, Scottish Natural Heritage",GBR,6860.772202,3.836373,6,Mosaic,6.342216777,0.802241082,69,1.838849091,8.41987177,521,0,521,7085,3.850339855
Polygon,183432,183432,Dee Estuary,Dee Estuary,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,1,1998,22,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,441511.8423,5.644942357,11,Water bodies,63.11849143,1.80015661,11.38461538,1.056318363,9.91901046,494.6666667,0,494.6666667,7251,3.860397905
Polygon,169804,169804,Dee Estuary/Aber Afon Dyfrdwy,Dee Estuary/Aber Afon Dyfrdwy,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,1,1983,37,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,470103.817,5.672193777,10,Water bodies,73.98822648,1.869162617,14.25925926,1.154096965,9.905902902,477.1666667,0,477.1666667,7251,3.860397905
Polygon,555580980,555580980,Coombes & Churnet Valleys,Coombes & Churnet Valleys,Nature Reserve,Nature Reserve,National,0,1962,58,Joint governance,B,"RSPB, Natural England, West Midlands Trust for Nature Conservation",GBR,92445.90448,4.965887676,3,Mosaic,1.903139184,0.279470551,9.2,0.963787827,8.449999809,479,122,601,7704,3.886716274
Polygon,555580997,555580997,Tudeley Woods,Tudeley Woods,Nature Reserve,Nature Reserve,National,0,1985,35,Joint governance,B,"RSPB, Natural England, Landowner(s)",GBR,176529.7282,5.246817853,5,Mosaic,2.975260637,0.473525017,1.75,0.243038049,9.778333473,491.3333333,96.33333333,587.6666666,8000,3.903089987
Polygon,555581036,555581036,Loch Of Kinnordy,Loch Of Kinnordy,Nature Reserve,Nature Reserve,National,0,1976,44,Joint governance,B,"RSPB, Scottish Natural Heritage, Landowner(s)",GBR,13854.35407,4.141586283,4,Mosaic,2.005773175,0.302281819,16.25,1.210853365,8.033333778,548,0,548,8298,3.91897343
Polygon,10949,10949,Blean Woods,Blean Woods,National Nature Reserve,National Nature Reserve,National,0,1953,67,Federal or national ministry or agency,A,"Natural England, Scottish Natural Heritage, Natural Resources Wales and Department of Environment Northern Ireland",GBR,185684.2469,5.268775061,6,Mosaic,6.318305767,0.800600639,4.461538462,0.649484641,10.05320512,619.6666667,0,619.6666667,8703,3.939668984
Polygon,140230,140230,"Church Woods, Blean","Church Woods, Blean",Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,2000,20,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,154956.3005,5.190209239,4,Mosaic,5.257082317,0.720744777,4.2,0.62324929,9.990000057,621.5,0,621.5,8703,3.939668984
Polygon,555581074,555581074,Campfield Marsh,Campfield Marsh,Nature Reserve,Nature Reserve,National,1,1986,34,Joint governance,B,"RSPB, Natural England",GBR,27997.73722,4.447122933,5,Mosaic,3.92885109,0.594265569,19.71428571,1.294781046,9.134523664,519,84,603,9250,3.966141733
Polygon,555581055,555581055,Aylesbeare Common,Aylesbeare Common,Nature Reserve,Nature Reserve,National,0,1977,43,Joint governance,B,"RSPB, Natural England",GBR,96059.32066,4.982539511,4,Mosaic,2.420665096,0.383934708,6.333333333,0.801632346,10.22500022,330.5,98,428.5,9853,3.993568483
Polygon,140578,140578,West Sedgemoor,West Sedgemoor,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1983,37,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,81113.17632,4.909091408,5,Grassland,10.20064074,1.008627452,11.61111111,1.064873781,10.41851881,514,60,574,9926,3.996774271
Polygon,11076,11076,Coed Rheidol,Coed Rheidol,National Nature Reserve,National Nature Reserve,National,0,1956,64,Federal or national ministry or agency,A,"Natural England, Scottish Natural Heritage, Natural Resources Wales and Department of Environment Northern Ireland",GBR,6912.187081,3.839615484,4,Grassland,1.656864263,0.219286931,56.5,1.752048448,8.588888486,466,0,466,10000,4
Polygon,555581034,555581034,Ken-Dee Marshes,Ken-Dee Marshes,Nature Reserve,Nature Reserve,National,0,1978,42,Joint governance,B,"RSPB, Scottish Natural Heritage, Landowner(s)",GBR,6508.583896,3.813486507,5,Mosaic,1.160820304,0.064764996,54.33088369,1.735046769,8.702977887,493.6666667,86,579.6666667,10000,4
Polygon,136594,136594,Ouse Washes,Ouse Washes,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1984,36,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,162680.2088,5.211334721,8,Water bodies,25.09723602,1.399625895,19.95833333,1.300124272,9.951562643,500.2857143,0,500.2857143,10757,4.031691169
Polygon,555581037,555581037,Loch Of Strathbeg,Loch Of Strathbeg,Nature Reserve,Nature Reserve,National,1,1972,48,Joint governance,B,"RSPB, Scottish Natural Heritage, Landowner(s)",GBR,42001.77649,4.62326766,7,Water bodies,9.137634223,0.960833769,38.33333333,1.583576586,8.415833426,461.5,0,461.5,10800,4.033423755
Polygon,135765,135765,Loch of Strathbeg,Loch of Strathbeg,Site of Special Scientific Interest (UK),Site of Special Scientific Interest (GB),National,0,1971,49,Federal or national ministry or agency,A,"Natural England, Natural Resources Wales, Scottish Natural Heritage",GBR,41335.50793,4.616323279,6,Water bodies,9.534599043,0.979302434,39.1,1.592176757,8.416269984,327,0,327,10800,4.033423755
