B.L..Scientific.name,order.Birdlife,family_name.Birdlife,Birdlife.Common.name.x,Colour.richness,BCI,Distinct.patterning,Unusual.appendages,Unusual.adornments,IUCNstatus,Extinction.risk,migration,tp,tl,habitat_1,colonial,log.mass,Africa.log.Range,ED_score,Sources
Ciconia abdimii,CICONIIFORMES,Ciconiidae,Abdim's Stork,4,0.035714286,1,0,0,LC,5,4,Diurnal,Carnivore,Artificial,Colonial,3.145507171,7.245498986,16.833612,4
Parophasma galinieri,PASSERIFORMES,Sylviidae,Abyssinian Catbird,5,0,1,0,0,LC,5,1,Diurnal,Herbivore,Forest,Not colonial,1.33243846,4.897272971,11.728761,6
Cryptospiza salvadorii,PASSERIFORMES,Estrildidae,Abyssinian Crimsonwing,4,0.025,1,0,0,LC,5,1,Diurnal,Herbivore,Forest,Not colonial,1.086359824,5.407818455,3.668892,1
Geokichla piaggiae,PASSERIFORMES,Turdidae,Abyssinian Ground-thrush,5,0.038461538,1,0,0,LC,5,1,Diurnal,Omnivore,Forest,Not colonial,1.708420887,5.51600624,6.499922,1
Macronyx flavicollis,PASSERIFORMES,Motacillidae,Abyssinian Longclaw,7,0.023809524,1,1,0,NT,4,1,Diurnal,Carnivore,Open vegetation,Not colonial,1.401654068,5.607444006,6.583448,3
Coracias abyssinicus,CORACIIFORMES,Coraciidae,Abyssinian Roller,5,0.044117647,1,1,1,LC,5,4,Diurnal,Carnivore,Shrubland,Not colonial,2.008600172,6.840134861,9.169707,8
Rhinopomastus minor,BUCEROTIFORMES,Phoeniculidae,Abyssinian Scimitarbill,4,0.078947368,1,1,0,LC,5,1,Diurnal,Carnivore,Open vegetation,Not colonial,1.336459734,6.314065578,21.244498,2
Melaenornis chocolatinus,PASSERIFORMES,Muscicapidae,Abyssinian Slaty-flycatcher,6,0,1,0,0,LC,5,1,Diurnal,Carnivore,Shrubland,Not colonial,1.369215857,5.307120837,4.69615,2
Dendropicos abyssinicus,PICIFORMES,Picidae,Abyssinian Woodpecker,5,0.020833333,1,0,0,LC,5,1,Diurnal,Carnivore,Open vegetation,Not colonial,1.389166084,5.556390521,3.048776,4
Tricholaema leucomelas,PICIFORMES,Lybiidae,Acacia Pied Barbet,4,0.041666667,1,0,0,LC,5,1,Diurnal,Omnivore,Open vegetation,Not colonial,1.507855882,6.492145998,5.659007,2
Streptopelia hypopyrrha,COLUMBIFORMES,Columbidae,Adamawa Turtle-dove,6,0,1,0,0,LC,5,1,Diurnal,Herbivore,Open vegetation,Not colonial,2.209515015,5.724205012,4.620512,2
Columba unicincta,COLUMBIFORMES,Columbidae,Afep Pigeon,4,0,1,0,0,LC,5,1,Diurnal,Herbivore,Forest,Not colonial,2.591621038,6.431223144,5.657607,3
Glaucidium capense,STRIGIFORMES,Strigidae,African Barred Owlet,3,0.035714286,1,0,0,LC,5,1,Diurnal,Carnivore,Shrubland,Not colonial,2.086359831,6.607217753,11.352086,3
Anas sparsa,ANSERIFORMES,Anatidae,African Black Duck,4,0.055555556,1,0,0,LC,5,1,Diurnal,Omnivore,Aquatic,Not colonial,2.992332559,6.962776832,2.058148,3
Elminia longicauda,PASSERIFORMES,Stenostiridae,African Blue-flycatcher,6,0,1,1,0,LC,5,1,Diurnal,Carnivore,Forest,Not colonial,0.995635195,6.588760305,13.959319,5
Smithornis capensis,PASSERIFORMES,Calyptomenidae,African Broadbill,4,0,1,0,0,LC,5,1,Diurnal,Carnivore,Shrubland,Not colonial,1.365487999,6.5722588,15.511631,6
Streptopelia roseogrisea,COLUMBIFORMES,Columbidae,African Collared-dove,5,0,1,0,0,LC,5,4,Diurnal,Herbivore,Open vegetation,Not colonial,2.190331698,6.779455689,5.150013,1
Sarkidiornis melanotos,ANSERIFORMES,Anatidae,African Comb Duck,7,0.060344828,1,0,1,LC,5,4,Diurnal,Herbivore,Aquatic,Not colonial,3.374289988,7.206846059,8.844321,3
Crex egregia,GRUIFORMES,Rallidae,African Crake,5,0,1,0,0,LC,5,4,Diurnal,Omnivore,Aquatic,Not colonial,2.075546961,7.066747486,9.146184,2
