Order.IUCN,Scientific.name,Common.name.IUCN,ED_score,IUCNstatus,Extinction.risk,habitat_1,tl,social,Colour.richness,Distinct.patterning,Unusual.appendages,Unusual.adornments,tp,Africa.log.Range,log.mass,Sources
CARNIVORA,Acinonyx jubatus,"Cheetah, Hunting Leopard",19.32584835,VU,3,Open Vegetation,Carnivore,Solitary,5,1,0,0,Diurnal,6.428822589,1.703960965,25
CETARTIODACTYLA,Addax nasomaculatus,Addax,8.382123251,CR,1,Bare,Herbivore,Group living,4,1,0,1,Crepuscular,4.528717723,1.982621061,7
CETARTIODACTYLA,Aepyceros melampus,"Impala, Black-faced Impala",9.794159742,LC,5,Forest,Herbivore,Group living,5,1,0,1,Diurnal,6.443623519,1.720917127,22
CETARTIODACTYLA,Alcelaphus buselaphus,"Hartebeest, Swayne's Hartebeest",7.367878864,LC,5,Forest,Herbivore,Group living,6,0,0,1,Diurnal,6.829733033,2.206658222,16
CETARTIODACTYLA,Alcelaphus caama,Red Hartebeest,7.367878864,LC,5,Forest,Herbivore,Group living,6,0,0,1,Diurnal,6.829897035,2.206658222,6
CETARTIODACTYLA,Alcelaphus lichtensteinii,Lichtenstein's Hartbeest,7.367878864,LC,5,Forest,Herbivore,Group living,7,1,0,1,Diurnal,6.829897035,2.206658222,8
PRIMATES,Allochrocebus lhoesti,"L'hoest's Monkey, L'Hoest's Monkey, L'Hoest's Guenon, Mountain Monkey",3.773298578,VU,3,Forest,Herbivore,Group living,5,1,1,0,Diurnal,5.33449706,0.724887548,16
PRIMATES,Allochrocebus preussi,"Preuss's Monkey, Preuss's Guenon, Preuss's Monkey",3.773298578,EN,2,Forest,Herbivore,Group living,5,1,1,0,Diurnal,4.227879295,0.710334881,1
PRIMATES,Allochrocebus solatus,"Sun-tailed Monkey, Sun-tailed Guenon",4.404468823,VU,3,Forest,Herbivore,Group living,7,1,1,0,Diurnal,4.083729349,0.720730542,3
CETARTIODACTYLA,Ammodorcas clarkei,"Dibatag, Clarke's Gazelle",7.139430265,VU,3,Open Vegetation,Herbivore,Group living,6,0,0,1,Diurnal,4.922813408,1.447929924,1
CETARTIODACTYLA,Ammotragus lervia,"Aoudad, Uaddan, Barbary Sheep",11.38778218,VU,3,Bare,Herbivore,Solitary,5,0,0,1,Diurnal,6.150859299,1.974061138,4
CETARTIODACTYLA,Antidorcas marsupialis,Springbok,6.984178387,LC,5,Open Vegetation,Herbivore,Group living,6,1,0,1,Cathemeral,6.289054291,1.525967383,18
CARNIVORA,Aonyx capensis,"African Clawless Otter, Cape Clawless Otter",7.318556784,NT,4,Mosaic,Carnivore,Solitary,5,1,0,0,Nocturnal,7.07123867,1.286057023,9
CARNIVORA,Aonyx congicus,"Congo Clawless Otter, Zaire Clawless Otter, Small-clawed Otter, Small-toothed Clawless Otter, Cameroon Clawless Otter",7.318556784,NT,4,Forest,Carnivore,Solitary,4,1,1,0,Nocturnal,6.361704935,1.286057023,5
RODENTIA,Atherurus africanus,African Brush-tailed Porcupine,18.4436728,LC,5,Forest,Omnivore,Group living,6,0,0,1,Nocturnal,6.465236675,0.458736026,4
CARNIVORA,Atilax paludinosus,"Marsh Mongoose, Water Mongoose",15.12798553,LC,5,Forest,Omnivore,Solitary,3,1,0,0,Nocturnal,7.029181271,0.556321802,5
CARNIVORA,Bdeogale crassicauda,"Bushy-tailed Mongoose, Sokoke Bushy-tailed Mongoose",9.922918559,LC,5,Forest,Carnivore,Solitary,2,0,0,0,Nocturnal,6.171711475,0.236065932,2
CARNIVORA,Bdeogale nigripes,"Black-footed Mogoose, Black-legged Mongoose",9.917898962,LC,5,Forest,Carnivore,Solitary,3,1,0,0,Nocturnal,5.887225007,0.418799946,1
CARNIVORA,Bdeogale omnivora,Sokoke Bushy-tailed Mongoose,9.922918559,VU,3,Forest,Carnivore,Solitary,4,0,0,0,Nocturnal,4.41665512,0.236065932,1
CETARTIODACTYLA,Beatragus hunteri,"Hirola, Hunter's Antelope",14.12584734,CR,1,Mosaic,Herbivore,Group living,5,1,0,1,Crepuscular,4.054267953,1.898353075,2
LAGOMORPHA,Bunolagus monticularis,"Riverine Rabbit, Bushman Hare",27.88392179,CR,1,Open Vegetation,Herbivore,Solitary,7,1,1,0,Nocturnal,4.894933518,0.24304053,3
CARNIVORA,Canis adustus,Side-striped Jackal,3.568733385,LC,5,Forest,Omnivore,Solitary,5,1,0,0,Nocturnal,7.029154592,1.016719615,11
CARNIVORA,Canis mesomelas,"Black-backed Jackal, Chacal Ë Chabraque, Silver-backed Jackal",3.663512913,LC,5,Mosaic,Omnivore,Group living,5,1,0,0,Nocturnal,6.807105339,0.916311793,16
CARNIVORA,Canis simensis,"Ethiopian Wolf, Simien Jackal, Simien Fox",3.323787763,EN,2,Mosaic,Carnivore,Group living,3,1,0,0,Diurnal,3.787558448,1.157210689,16
CETARTIODACTYLA,Capra walie,"Walia Ibex, Walia",5.250705468,EN,2,Mosaic,Herbivore,Group living,7,1,0,1,Crepuscular,2.926817563,2.000625021,9
CARNIVORA,Caracal aurata,"African Golden Cat, Golden Cat",10.1851562,VU,3,Forest,Carnivore,Solitary,6,1,0,0,Nocturnal,6.606515884,1.052200127,6
CARNIVORA,Caracal caracal,"Caracal, Desert Lynx, African Caracal, Asian Caracal",10.23174203,LC,5,Mosaic,Carnivore,Solitary,5,1,0,0,Nocturnal,7.157345207,1.077890198,12
CETARTIODACTYLA,Cephalophus adersi,Aders' Duiker,6.793916241,CR,1,Forest,Herbivore,Solitary,5,1,0,1,Diurnal,3.025930239,0.966139385,4
CETARTIODACTYLA,Cephalophus callipygus,"Peters' Duiker, Peter's Duiker",4.032845283,LC,5,Forest,Omnivore,Solitary,6,1,0,1,Diurnal,5.606168058,1.280560844,4
CETARTIODACTYLA,Cephalophus dorsalis,Bay Duiker,5.722663177,NT,4,Forest,Omnivore,Solitary,5,1,0,1,Nocturnal,6.468939704,1.301029996,3
CETARTIODACTYLA,Cephalophus harveyi,"Harvey's Duiker, Harvey's Red Duiker",4.525200401,LC,5,Forest,Omnivore,Solitary,4,1,0,1,Nocturnal,5.539150518,1.104641067,3
CETARTIODACTYLA,Cephalophus jentinki,Jentink's Duiker,6.449576981,EN,2,Forest,Omnivore,Solitary,3,1,0,1,Nocturnal,4.775360882,1.835624249,3
CETARTIODACTYLA,Cephalophus leucogaster,White-bellied Duiker,5.450057199,NT,4,Forest,Omnivore,Solitary,4,1,0,1,Nocturnal,5.855175173,1.120859748,2
CETARTIODACTYLA,Cephalophus natalensis,"Natal Red Duiker, Natal Duiker, Red Forest Duiker",4.525200401,LC,5,Forest,Omnivore,Solitary,6,1,0,1,Diurnal,5.411424376,1.104641067,9
