Order,Family,Scientific,Common,log.Range,bccstatus,bcc,Colour.richness,BCI,Distinct.patterning,Unusual.appendages,Unusual.adornments,status,Extinction.risk,migratory type,migration,tp,tl,ED_score,habitat_1,colonial,log.mass,Sources
PASSERIFORMES,Fringillidae,Acanthis flammea,Common Redpoll,3.103461622,Amber,2,6,0.015625,1,0,0,LC,5,Full Migrant,4,Diurnal,Herbivore,3.324037,Forest,Colonial,1.113943352,6
ACCIPITRIFORMES,Accipitridae,Accipiter gentilis,Goshawk,2.944975908,Green,3,3,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,9.50842,Forest,Not colonial,2.955046015,6
ACCIPITRIFORMES,Accipitridae,Accipiter nisus,Sparrowhawk,3.42111013,Green,3,4,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,6.716942,Artificial,Not colonial,2.375663614,7
PASSERIFORMES,Acrocephalidae,Acrocephalus palustris,Marsh Warbler,1.69019608,Red,1,2,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,6.353201,Shrubland,Not colonial,1.06069784,4
PASSERIFORMES,Acrocephalidae,Acrocephalus schoenobaenus,Sedge Warbler,3.391640703,Green,3,7,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,6.225147,Aquatic,Not colonial,1.07371835,8
PASSERIFORMES,Acrocephalidae,Acrocephalus scirpaceus,Reed Warbler,3.07773118,Green,3,5,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Carnivore,4.099275,Aquatic,Not colonial,1.089905111,8
CHARADRIIFORMES,Scolopacidae,Actitis hypoleucos,Common Sandpiper,3.27989498,Amber,2,3,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Omnivore,21.494293,Aquatic,Not colonial,1.681241237,7
PASSERIFORMES,Aegithalidae,Aegithalos caudatus,Long-tailed Tit,3.395675785,Green,3,4,0,1,1,0,LC,5,Not a Migrant,1,Diurnal,Carnivore,7.871647,Forest,Not colonial,0.934498451,6
PASSERIFORMES,Alaudidae,Alauda arvensis,Skylark,3.44870632,Red,1,6,0,1,0,0,LC,5,Full Migrant,4,Diurnal,Herbivore,5.451373,Aquatic,Not colonial,1.573741642,8
CHARADRIIFORMES,Alcidae,Alca torda,Razorbill,2.874481818,Amber,2,2,0,1,0,0,NT,4,Full Migrant,4,Diurnal,Carnivore,10.863603,Aquatic,Colonial,2.860936621,7
